code_name,smell,type,repository,commit_hash,file_path,github_url,start_line,end_line,severity_sum,reviewers_count,smelliness_degree
Ajdoc14Source#doAssert,FeatureEnvy,Method,git@github.com:eclipse/org.aspectj.git,370f291c359cd159c5f3f0abd6e9e53e81234a07,/taskdefs/testdata/Ajdoc14Source.java,https://github.com/eclipse/org.aspectj/blob/370f291c359cd159c5f3f0abd6e9e53e81234a07/taskdefs/testdata/Ajdoc14Source.java/#L10-L12,10,12,0,1,0.0
Ajdoc14Source#doAssert,LongMethod,Method,git@github.com:eclipse/org.aspectj.git,370f291c359cd159c5f3f0abd6e9e53e81234a07,/taskdefs/testdata/Ajdoc14Source.java,https://github.com/eclipse/org.aspectj/blob/370f291c359cd159c5f3f0abd6e9e53e81234a07/taskdefs/testdata/Ajdoc14Source.java/#L10-L12,10,12,0,1,0.0
AutonomousDatawarehouseExample.createAdwWalletDetails String,FeatureEnvy,Method,git@github.com:oracle/oci-java-sdk.git,76e9cecd7b309d9f12e5efe96c74167c66a98872,/bmc-examples/src/main/java/AutonomousDatawarehouseExample.java,https://github.com/oracle/oci-java-sdk/blob/76e9cecd7b309d9f12e5efe96c74167c66a98872/bmc-examples/src/main/java/AutonomousDatawarehouseExample.java/#L186-L189,186,189,0,1,0.0
AutonomousDatawarehouseExample.createAdwWalletDetails String,LongMethod,Method,git@github.com:oracle/oci-java-sdk.git,76e9cecd7b309d9f12e5efe96c74167c66a98872,/bmc-examples/src/main/java/AutonomousDatawarehouseExample.java,https://github.com/oracle/oci-java-sdk/blob/76e9cecd7b309d9f12e5efe96c74167c66a98872/bmc-examples/src/main/java/AutonomousDatawarehouseExample.java/#L186-L189,186,189,0,1,0.0
Blort#test5,FeatureEnvy,Method,git@github.com:facebook/buck.git,1bc8d383ea5cb153ca9bf4f2807e6be498648523,/third-party/java/dx/tests/065-dex-new-array/Blort.java,https://github.com/facebook/buck/blob/1bc8d383ea5cb153ca9bf4f2807e6be498648523/third-party/java/dx/tests/065-dex-new-array/Blort.java/#L35-L37,35,37,0,1,0.0
Blort#test5,LongMethod,Method,git@github.com:facebook/buck.git,1bc8d383ea5cb153ca9bf4f2807e6be498648523,/third-party/java/dx/tests/065-dex-new-array/Blort.java,https://github.com/facebook/buck/blob/1bc8d383ea5cb153ca9bf4f2807e6be498648523/third-party/java/dx/tests/065-dex-new-array/Blort.java/#L35-L37,35,37,0,1,0.0
D.m,FeatureEnvy,Method,git@github.com:eclipse/org.aspectj.git,370f291c359cd159c5f3f0abd6e9e53e81234a07,/tests/bugs1611/pr336880/Second.java,https://github.com/eclipse/org.aspectj/blob/370f291c359cd159c5f3f0abd6e9e53e81234a07/tests/bugs1611/pr336880/Second.java/#L4-L9,4,9,3,3,1.0
D.m,LongMethod,Method,git@github.com:eclipse/org.aspectj.git,370f291c359cd159c5f3f0abd6e9e53e81234a07,/tests/bugs1611/pr336880/Second.java,https://github.com/eclipse/org.aspectj/blob/370f291c359cd159c5f3f0abd6e9e53e81234a07/tests/bugs1611/pr336880/Second.java/#L4-L9,4,9,3,3,1.0
Foo.Mumble,DataClass,Class,git@github.com:eclipse/org.aspectj.git,370f291c359cd159c5f3f0abd6e9e53e81234a07,/asm/testdata/simple-coverage/Foo.java,https://github.com/eclipse/org.aspectj/blob/370f291c359cd159c5f3f0abd6e9e53e81234a07/asm/testdata/simple-coverage/Foo.java/#L3-L9,3,9,0,1,0.0
Foo.Mumble,GodClass,Class,git@github.com:eclipse/org.aspectj.git,370f291c359cd159c5f3f0abd6e9e53e81234a07,/asm/testdata/simple-coverage/Foo.java,https://github.com/eclipse/org.aspectj/blob/370f291c359cd159c5f3f0abd6e9e53e81234a07/asm/testdata/simple-coverage/Foo.java/#L3-L9,3,9,0,1,0.0
GetObject,DataClass,Class,git@github.com:awsdocs/amazon-s3-developer-guide.git,038ef11c43698df29de7bb128522dc19a1b645ae,/code_examples/java_examples/S3Examples/GetObject.java,https://github.com/awsdocs/amazon-s3-developer-guide/blob/038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/GetObject.java/#L18-L88,18,88,0,1,0.0
GetObject,GodClass,Class,git@github.com:awsdocs/amazon-s3-developer-guide.git,038ef11c43698df29de7bb128522dc19a1b645ae,/code_examples/java_examples/S3Examples/GetObject.java,https://github.com/awsdocs/amazon-s3-developer-guide/blob/038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/GetObject.java/#L18-L88,18,88,0,1,0.0
ICEDocCleaner,DataClass,Class,git@github.com:eclipse/ice.git,3f6e0265f5b476ff90a660397ce83992944142c4,/utils/ICEDocCleaner/src/ICEDocCleaner.java,https://github.com/eclipse/ice/blob/3f6e0265f5b476ff90a660397ce83992944142c4/utils/ICEDocCleaner/src/ICEDocCleaner.java/#L36-L131,36,131,0,3,0.0
