id,type,github_url,github_raw_url,isDataClass,isFeatureEnvy,isGodClass,isLongMethod
1,Method,https://github.com/eclipse/org.aspectj/blob/370f291c359cd159c5f3f0abd6e9e53e81234a07/taskdefs/testdata/Ajdoc14Source.java/#L10-L12,https://raw.githubusercontent.com/eclipse/org.aspectj/370f291c359cd159c5f3f0abd6e9e53e81234a07/taskdefs/testdata/Ajdoc14Source.java/#L10-L12,0,0,0,0
2,Method,https://github.com/oracle/oci-java-sdk/blob/76e9cecd7b309d9f12e5efe96c74167c66a98872/bmc-examples/src/main/java/AutonomousDatawarehouseExample.java/#L186-L189,https://raw.githubusercontent.com/oracle/oci-java-sdk/76e9cecd7b309d9f12e5efe96c74167c66a98872/bmc-examples/src/main/java/AutonomousDatawarehouseExample.java/#L186-L189,0,0,0,0
3,Method,https://github.com/facebook/buck/blob/1bc8d383ea5cb153ca9bf4f2807e6be498648523/third-party/java/dx/tests/065-dex-new-array/Blort.java/#L35-L37,https://raw.githubusercontent.com/facebook/buck/1bc8d383ea5cb153ca9bf4f2807e6be498648523/third-party/java/dx/tests/065-dex-new-array/Blort.java/#L35-L37,0,0,0,0
4,Method,https://github.com/eclipse/org.aspectj/blob/370f291c359cd159c5f3f0abd6e9e53e81234a07/tests/bugs1611/pr336880/Second.java/#L4-L9,https://raw.githubusercontent.com/eclipse/org.aspectj/370f291c359cd159c5f3f0abd6e9e53e81234a07/tests/bugs1611/pr336880/Second.java/#L4-L9,0,1,0,1
5,Class,https://github.com/eclipse/org.aspectj/blob/370f291c359cd159c5f3f0abd6e9e53e81234a07/asm/testdata/simple-coverage/Foo.java/#L3-L9,https://raw.githubusercontent.com/eclipse/org.aspectj/370f291c359cd159c5f3f0abd6e9e53e81234a07/asm/testdata/simple-coverage/Foo.java/#L3-L9,0,0,0,0
6,Class,https://github.com/awsdocs/amazon-s3-developer-guide/blob/038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/GetObject.java/#L18-L88,https://raw.githubusercontent.com/awsdocs/amazon-s3-developer-guide/038ef11c43698df29de7bb128522dc19a1b645ae/code_examples/java_examples/S3Examples/GetObject.java/#L18-L88,0,0,0,0
7,Class,https://github.com/eclipse/ice/blob/3f6e0265f5b476ff90a660397ce83992944142c4/utils/ICEDocCleaner/src/ICEDocCleaner.java/#L36-L131,https://raw.githubusercontent.com/eclipse/ice/3f6e0265f5b476ff90a660397ce83992944142c4/utils/ICEDocCleaner/src/ICEDocCleaner.java/#L36-L131,0,0,1,0
8,Class,https://github.com/oracle/oci-java-sdk/blob/76e9cecd7b309d9f12e5efe96c74167c66a98872/bmc-examples/src/main/java/ListFaultDomainsExample.java/#L16-L51,https://raw.githubusercontent.com/oracle/oci-java-sdk/76e9cecd7b309d9f12e5efe96c74167c66a98872/bmc-examples/src/main/java/ListFaultDomainsExample.java/#L16-L51,0,0,0,0
9,Class,https://github.com/alibaba/java-dns-cache-manipulator/blob/eab50ee5c27671f9159b55458301f9429b2fcc47/.mvn/wrapper/MavenWrapperDownloader.java/#L25-L110,https://raw.githubusercontent.com/alibaba/java-dns-cache-manipulator/eab50ee5c27671f9159b55458301f9429b2fcc47/.mvn/wrapper/MavenWrapperDownloader.java/#L25-L110,0,0,1,0
10,Method,https://github.com/spring-projects/spring-data-solr/blob/6db215cf28337895ec40ed28082fa895846680bb/.mvn/wrapper/MavenWrapperDownloader.java/#L100-L108,https://raw.githubusercontent.com/spring-projects/spring-data-solr/6db215cf28337895ec40ed28082fa895846680bb/.mvn/wrapper/MavenWrapperDownloader.java/#L100-L108,0,0,0,0
