method,id,project,package,class,isFeatureEnvy,isLongMethod,isLongParametersList,isSwitchStatement,github_url,github_raw_url
transform(Mesh),156976,aoi-2.8.1,artofillusion.animation.distortion,BendDistortion,0,1,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/ArtOfIllusion/src/artofillusion/animation/distortion/BendDistortion.java#L86-L189,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/ArtOfIllusion/src/artofillusion/animation/distortion/BendDistortion.java#L86-L189
"interpOneAxis(MeshVertex[][],float[],double[][][],boolean,double)",158055,aoi-2.8.1,artofillusion.object,SplineMesh,0,1,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/ArtOfIllusion/src/artofillusion/object/SplineMesh.java#L447-L547,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/ArtOfIllusion/src/artofillusion/object/SplineMesh.java#L447-L547
"doSubdivide(TriangleMesh,Vertex[],Edge[],Face[],boolean[],Vertex[],Edge[],Face[],double[][][],double[][][],int[])",157307,aoi-2.8.1,artofillusion.object,TriangleMesh,0,1,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/ArtOfIllusion/src/artofillusion/object/TriangleMesh.java#L2273-L2617,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/ArtOfIllusion/src/artofillusion/object/TriangleMesh.java#L2273-L2617
"createFinalImage(Vec3,Vec3,Vec3,Vec3)",162348,aoi-2.8.1,artofillusion.raster,Raster,1,1,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raster/Raster.java#L518-L681,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raster/Raster.java#L518-L681
"renderTriangleGouraud(Vec2,float,double,double,RGBColor,RGBColor,Vec2,float,double,double,RGBColor,RGBColor,Vec2,float,double,double,RGBColor,RGBColor,RenderingTriangle,double,double,boolean,ObjectMaterialInfo,RasterContext)",162358,aoi-2.8.1,artofillusion.raster,Raster,1,1,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raster/Raster.java#L1272-L1916,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raster/Raster.java#L1272-L1916
"renderTriangleHybrid(Vec2,float,Vec3,Vec3,double,double,RGBColor,Vec2,float,Vec3,Vec3,double,double,RGBColor,Vec2,float,Vec3,Vec3,double,double,RGBColor,RenderingTriangle,Vec3,Vec3,double,double,boolean,ObjectMaterialInfo,RasterContext)",162360,aoi-2.8.1,artofillusion.raster,Raster,1,1,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raster/Raster.java#L2005-L2676,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raster/Raster.java#L2005-L2676
"renderTrianglePhong(Vec2,float,Vec3,Vec3,double,double,Vec2,float,Vec3,Vec3,double,double,Vec2,float,Vec3,Vec3,double,double,RenderingTriangle,Vec3,Vec3,double,boolean,boolean,ObjectMaterialInfo,RasterContext)",162362,aoi-2.8.1,artofillusion.raster,Raster,1,1,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raster/Raster.java#L2745-L3319,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raster/Raster.java#L2745-L3319
"propagateRay(Ray,OctreeNode,RTObject,double,MaterialMapping,MaterialMapping,Mat4,Mat4,RGBColor,int,double,boolean,boolean)",160975,aoi-2.8.1,artofillusion.raytracer,PhotonMap,1,1,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raytracer/PhotonMap.java#L506-L639,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raytracer/PhotonMap.java#L506-L639
"propagateRay(Ray,OctreeNode,double,MaterialMapping,MaterialMapping,Mat4,Mat4,RGBColor,RGBColor,int,double)",161061,aoi-2.8.1,artofillusion.raytracer,Raytracer,1,0,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raytracer/Raytracer.java#L2243-L2393,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raytracer/Raytracer.java#L2243-L2393
"traceLightRay(Ray,Light,int,OctreeNode,OctreeNode,double,double,MaterialMapping,MaterialMapping,Mat4,Mat4)",161060,aoi-2.8.1,artofillusion.raytracer,Raytracer,1,1,0,0,https://github.com/JavaQualitasCorpus/aoi-2.8.1/blob/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raytracer/Raytracer.java#L2117-L2222,https://raw.githubusercontent.com/JavaQualitasCorpus/aoi-2.8.1/e94677de18a2e9398e2abbbea40ba401c16bf827/Renderers/src/artofillusion/raytracer/Raytracer.java#L2117-L2222
